unique_input_record_identifier	input_title	lookup_key	input_writers	input_performers		database_song_title	database_song_writers
1zbFYFFp003w3i6o0foVeW	Moonlight Night	MOONLIGHTNIGHT	-,Robbie van Leeuwen	Shocking Blue	0031709695	MOONLIGHT NIGHT	LEEUWEN ROB
5pwfHIykTlUJzzniVC18hl	Music	MUSIC	Ali Schwarz,Basti Schwarz,Joy Denalane,Peter Hoff	Tiefschwarz	0026080272	MUSIC	HOFF P/SCHWARZ S/SCHWARZ A/DENALANE J
0EkGVxpPTlO5774mopmmBn	PasiÃÂ³n y AdiÃÂ³s	PASIONYADIO	Liliana Gimenez,Stefano Micarelli	Alacran	0048388590	PASION Y ADIOS (IT)	MICARELLI S/GIMENEZ L
2XWOFeKVnwP6X4uJL0s9W8	Funk de Fino	FUNKDEFINO	Graham Drinnan	Gypsy	0022425577	FUNK DE FINO	DRINNAN GRAHAM
2FOBFj915HDE0yfLKmZogJ	Empty Batteries	EMPTYBATERIE	Adam Woloszyn,Bradley Chester Kochmit,Elias Soriano,Rasheed Thomas,Robb Rivera	Nonpoint	0054388178	EMPTY BATTERIES	ELIAS SORIANO/BRADLEY CHESTER KOCHMIT/RA
2152wA6Fzj72ouJNABlZMC	Omstart	OMSTART	Eirik Boe,Erik Boe,Erlend Oye,ErlendOye&EirikBoe,Keigo Oyamada	Cornelius	0034859668	OMSTART	BOEE E/OEYE E/OYAMADA K
0ygOxj62KAQpaODqo7GVFI	Jigsaw	JIGSAW	Gene Shinozaki	Gene Shinozaki	0055228693	JIGSAW	GENE SHINOZAKI/KAILA MULLADY
2V7QMzG6hyKXQQ8RVuBAZp	Queens	QUEEN	Her,Zefire	Her	0051452403	QUEENS	HER/ZEFIRE
5JKiY5vBCnXPIj5mQHuhJu	Welcome to New Zealand	WELCOMETONEWZEALAND	Douglas Stenhouse,Katherine Rosina Bee	Kath Bee	0049685055	WELCOME TO NEW ZEALAND	BEE K/STENHOUSE D
6F2BORgWIvqv7HgFQ7tUi1	Battle Sirens (feat. Knife Party)	BATLESIREN	Gareth McGrillen,Rob Swire,Tom Morello	Tom Morello	0049786305	BATTLE SIRENS	SWIRE T/MORELLO T/MCGRILLEN G
7nwV6uwksCWKqIhJ2Ri7qM	Massage Lounge Music	MASAGELOUNGEMUSIC	Marco Rinaldo	Massage Wellness Moment	0051944427	MASSAGE LOUNGE MUSIC	MARCO RINALDO/NIEZNANY
2wsZz1q8bhTnP6I1uvmVGj	Lebe deinen Traum	LEBEDEINENTRAUM	Thomas Hammerl	Oberkrainer Power	0046488755	LEBE DEINEN TRAUM	THOMAS HAMMERL
2hw3gvVGXnF50DMHnVBwb2	Doesn't Matter Anyway	DOESNTMATERANYWAY	Jon Oliva,Paul O'Neill	Savatage	0041957722	DOESN'T MATTER ANYWAY	JON OLIVA/JON OLIVA/PAUL ONEILL/PAUL ONE
6Oq7fsdhGo8YfK9QqhT2HW	Tearing Me Up	TEARINMEUP	Matt Shelton	Wolverines	0029786788	TEARING ME UP	SHELTON MATTHEW
740FyKQuCtseWohjEtW2c0	Everything	EVERYTHIN	Christopher Cross,Rob Meurer	Christopher Cross	0040772638	EVERYTHING	CROSS CHRISTOPHER/MEURER ROB
666oy0OHH5qGtJgTnC6tfA	Hello (It's Me Are You There)	HELO	Thilo Jacks	Jaqee	0053466611	HELLO (IT'S ME ARE YOU THERE) (DE)	THILO JACKS
3W3P5rOSOP6gxqZFzSe8xL	Sur mon epaule	SURMONEPAULE	D. McNeil,E Anais,Philippe Lavil	Philippe Lavil	0046537192	SUR MON EPAULE	ANAIS E/LAVIL P/MC NEIL D
1cEX1AYeEul6KJzUvweWdK	Got To Cry	GOTTOCRY	James Brown	James Brown & The Famous Flames	0042968936	GOT TO CRY	BROWN J/BROWN J
7Fx9WpTSXLTQux8MrXEGkU	The Forest Floor	FORESTFLOOR	Christopher Johnson	Baba Bubo,Kri Samadhi	0051165143	THE FOREST FLOOR	CHRISTOPHER JOHNSON
4199BdsVeDq0CN0HQpHfQ4	Orange Loft	ORANGELOFT	Marcel FlorschÃÂ¼tz,Thomas Knoll	Boss Axis	0041002559	ORANGE LOFT	MARCEL FLORSCHUTZ
7M0GaGDy4MMGZxiVMZjMja	Chillout 69	CHILOUT69	Marco Rinaldo	Beach House Chillout Music Academy,Chillout,Ibiza Chill Out	0053476452	CHILL OUT 69	MARCO RINALDO
6hWOzchcVbVHuyA5Mb88bs	Secret Agent	SECRETAGENT	Philip Glass	English Chamber Orchestra	0013915426	SECRET AGENT (THEME)	GLASS PHILIP
2mkRpRkO1rMnUB6b9fEvYE	Just for Her	JUSTFORHER	The Last Resort	Logic	0048380991	JUST FOR HER	LAST RESORT
08r5ou7k9ZaLiHN8TX5RWo	One For My Baby	ONEFORMYBABY	Harold Arlen,Johnny Mercer	Robbie Williams	0001563920	ONE FOR MY BABY	ARLEN H/MERCER J
52gNbUZRu5pY9l5e1ahtkS	A Thousand Years (Sax Melody)	THOUSANDYEAR	Christina Judith Perri,David Hodges	The Rubber Band	0041933034	A THOUSAND YEARS	PERRI C/HODGES D
7dGkM8V2ONUzPfQ9FdHOVf	Recercada Romanesca	RECERCADAROMANESCA	Diego Ortiz	Capella De La Torre	0050905986	RECERCADA ROMANESCA	DIEGO ORTIZ
1M3S6bnTa3mRMLUZqzkUbA	Brand New	BRANDNEW	Brooklyn JovÃÂ© Pakathi,Jacques Du Toit,Luca Ronald Zeeman,Nicolas Gonzalez,Wesley Smuts	Climate Control	0055699603	BRAND NEW	NICOLAS GONZALEZ/BROOKLYN JOVE PAKATHI/J
0xdhqG3HQBOBviaMEiPgHR	Tap Tap Tap	TAPTAPTAP	Drumcorps	Drumcorps	0052968073	TAP TAP TAP	DRUMCORPS
4EzUG55GQmovhxjqUWSiYo	Gate 3	GATE3	J. Ginzburg,P. Purgas	Emptyset	0039381677	GATE 3	GINZBURG J/PURGAS P
4yoi5sglz8YR3SX2WwPpgC	Our Father	OURFATHER	Brooke Ligertwood,Jonas Myrin,Scott Ligertwood	Hillsong Worship	0046287633	OUR FATHER	FRASER B/LIGERTWOOD S/MYRIN J
2uYnPIbuOAAT6h0pLgF4vQ	Sandman	SANDMAN	Michael E	Michael E	0047603846	SANDMAN	MICHAEL E FRITH
5cR93FH9SJKzkS6QhPHg7W	Llamame	LAMAME	Emmanuel Horvilleur,Rafael Arcaute	Emmanuel Horvilleur	0036443293	LLAMAME	HORVILLEUR E/ARCAUTE R
6v8FXSmKMFGwFp23wK1DXD	Tell Me	TELME	Allan Ayque,Louie Ocampo	Joey Albert	0033406117	TELL ME	/OCAMPO LOUIE/AYQUE A/OCAMPO JR J
73liEZrnhX2XNXSLifO2xM	Get Away	GETAWAY	Andreas Dyre Odbjerg,Andreas Kongsted Jensen,Ben Cauley,Daniel Thorup,David Porter,Haruna James Wasajja,Harvey J Henderson,Ida Kudo HÃÂ¸ffding,James Alexander,Larry Charles Dodson,Steffen Simon Aba,Willie Hall,Winston Allen Stewart	Kongsted	0052757280	GET AWAY	JENSEN/ABA/HOEFFDING/ODBJERG/THORUP/WASA
3swIgDTjS5zcmsVzvTeTMr	The Unicorn	UNICORN	Shel,Silverstein	The Wayfarers	0000125999	UNICORN	SILVERSTEIN SHEL
6rOP9e8fg8PBe5qyJzKvVa	Violet Hill	VIOLETHIL	C. Martin,M. Buckland. W. Champion,R. Berryman	Vitamin String Quartet	0036581645	VIOLET HILL	BERRYMAN/BUCKLAND/CHAMPION/MARTIN
7oIPYcHVsiDZSrHYeA0ogg	Real Love	REALLOVE	Adrianne Elizabeth Lenker	Big Thief	0049960685	REAL LOVE	LENKER ADRIANNE ELIZABETH
7wZIqkXJOFzhr49aWNpsTw	Spinoza	SPINOZA	Edward Bartlett Joyner,Grant Evan Widmer	Generationals	0043712270	SPINOZA	JOYNER E/WIDMER G
6o6OO0SPFoIDM7j4zrvuNg	Rigor Mortis	RIGORMORTI	Cyril Neville,George Porter Jr.,Joseph Modeliste,Leo Nocentelli	The Meters	0012290190	RIGOR MORTIS	NEVILLE/PORTER/MODELISTE/NOCENTELLI
4BoNrxrQ6V0iKkExokBoKO	Train Song	TRAINSONG	Danny Fishman	Danny Fishman	0054248446	TRAIN SONG	DANNY FISHMAN
1BTzAdZzbFTMOhnpdnVYJ5	Ladies & Gentlemen	LADIES&GENTLEMEN	Giordano Trivellato,Giuliano Sacchetto,Tobacco Music Edition	Pilates Trainer	0051517533	LADIES & GENTLEMEN	GIULIANO SACCHETTO/GIORDANO TRIVELLATO
4sb1gNU7avV9MXMTA4Rj4l	Quintet for Horn, Violin, 2 Violas and Bass in E-flat major, K.407: 3. Allegro	QUINTETFORHORNVIOLIN2VIOL	Wolfgang Amadeus Mozart	Endres Quartet,Sebastian Huber	0042336620	QUINTET FOR HORN, VIOLIN, 2 VIOLAS AND VIOLONCELLO IN E-FLAT	WOLFGANG AMADEUS MOZART
513XZUPAD0HDmvu6YnR4Ga	National Breakout	NATIONALBREAKOUT	Jimmy Marinos,Michael Skill,Wally Palmar	The Romantics	0009878507	NATIONAL BREAKOUT	MARINOS J/PALAMARCHUK W/SKILL M
1N1gJIwsHY0bAQWQ4GForg	Mambo & Cola	MAMBO&COLA	Bebo Best	Bebo Best,The Super Lounge Orchestra	0041681635	MAMBO & COLA	BEBO BEST
0vF8iE7IpyU9zVFlkvyjAB	Drop in the Bucket	DROPINBUCKET	Bob Dipiero,Kix Brooks	Brooks & Dunn	0034782624	DROP IN THE BUCKET	BROOKS L/DI PIERO R
7kXHxtI2Gx5xnnN3vwjCr8	Driftin'	DRIFTIN	P A Greenbaum	Gary Moore	0009703859	DRIFTING	GREEN PETER ALAN
7FAX4dW3nnxrj44TqLhL6u	La Villanella, Prima parte, Pensieri amorosi: Avrilla mia	VILANELAPRIMAPARTEPENSIER	Giovanni Girolamo Kapsberger	Christina Pluhar,Hans-JÃÂ¶rg Mammel,Johanette Zomer,L'Arpeggiata,Pino de Vittorio	0045576300	LA VILLANELLA, PRIMA PARTE, PENSIERI AMOROSI: AVRILLA MIA	ANONYMOUS/GIOVANNI GIROLAMO KAPSBERGER
1ZWqjA85CPleeQHeWMPcMx	Being with You	BEINWITHYOU	Bahram Pourmand	Bahramji & Mashti	0045602664	BEING WITH YOU	NORDHEIM M/POURMAND B
03PODiWrfNQ5s5gRwMPsv3	No Place Like Home	NOPLACELIKEHOME	Blake Andrew Keeping	Xavier Blake	0055643610	NO PLACE LIKE HOME	BLAKE ANDREW KEEPING
2vR9jqzDP339D6cFAnytV9	Chronia Polla	CHRONIAPOLA	Giannis Mplathras,Tasos Mplathras	Dimitris Giotis	0039989401	CHRONIA POLLA	GIANNIS MPLATHRAS
6DIktdaHbe32xcqQkpEycq	Ragismena Matia	RAGISMENAMATIA	Vasilis Saleas	Makis Hristodoulopoulos	0053469033	RAGISMENA MATIA	ANDREAS SPYROPOULOS/VASILIS SALEAS
3MEjLuXVGxrFBLUUmq0lni	Night Time	NIGHTTIME	Billy Strayhorn,Duke Ellington	Duke Ellington	0024793683	NIGHT TIME	ELLINGTON D /STRAYHORN B /JULIAN D
50J6OByPbz5TYqAP0llB6z	It's Me	ITSME	Mikkel Storleer Eriksen,P. T. Jackson,Tor Erik Hermansen	Joe	0034168764	IT'S ME	JACKSON P/HERMANSEN T/ERIKSEN M
7p22i75SXIAhyumjy99v4t	So Many Pros	SOMANYPRO	Calvin Broadus,Pharrell Williams	Snoop Dogg	0047899177	SO MANY PROS	BROADUS C/WILLIAMS P
6fPPRL9mdV96jPcfZWRCJU	Sunrise	SUNRISE	Ciaran O'Hagan,Denis Ferran,Dermot O Hagen,Mairtin Mac Cormaic,Micheal Proctor	Waylander	0042625045	SUNRISE	O'HAGAN/O'HAGAN/FERRAN/CORMAIC/PROCTOR
68w1iX1hdolfLsJSfqwjQj	Nocturne No.4 In F, Op.15 No.1	NOCTURNENO4INFOP15NO1	FrÃÂ©dÃÂ©ric Chopin	Maurizio Pollini	0419551288	NOCTURNE NO 4 IN F MAJOR (OP 15/1)	CHOPIN FREDERIC FRANCOIS
0pZs36idY8uJ5PwOFGUn5O	Grasshopper	GRASHOPER	Nathan Furst	Nathan Furst	0045976746	GRASSHOPPER	FURST NATHAN
33GbF5eIO6AKQewAao00mU	Fucking Friend Part II	FUCKINFRIENDPTII	Thomas Roussel,Yannick Granjean	SomethingALaMode	0050190336	FUCKING FRIEND PART II	THOMAS ROUSSEL/YANNICK GRANDJEAN
4bkT8iMD5Zaw9dhixEGykl	Roughstock Riders	ROUGHSTOCKRIDER	Steve Forde	Steve Forde & The Flange	0023106215	ROUGHSTOCK RIDERS	FORDE STEVEN JAMES
6fcssDZKqYhjGvjqNl3xhC	Frappe'	FRAPE	Stranger (Oleksandr Shevchenko),Stranger (Stefanos Gkogkakos)	Strange Yaga	0042628865	FRAPPE'	BABA YAGA/STRANGER OLEKSANDR SHEVCHENKO/
6l09c2CTcYqBhDfLGcQIq2	Medicine Weasel	MEDICINEWEASEL	Nick Pickett	The John Dummer Band	0048228579	MEDICINE WEASEL	NICK PICKETT
2uvTsEZExVjUochkvi0oF6	Mangle	MANGLE	David Cutter,Dyalla Swain	David Cutter Music,Dyalla	0055137330	MANGLE	NS (PERF BY DYALLA AND DAVID CUTTER MUSI
0z6xGK2u3nSsbk9XeKYwZQ	Flamenco Bolero	FLAMENCOBOLERO	Carlos Gomez,Gustavo Montesanos Gonzales,Maurice Ravel,Tino Di Geraldo	Gustavo Montesano/Royal Philharmonic Orchestra/Carlos Gomez	0026847438	FLAMENCO BOLERO	/RAVEL/ARR/MONTESANO GUSTAVO
4lFTM7ESXwW1LF6OD7BHmS	E-Ne-Me-Ne-Mi-Ne-Moe (The Choice Is Yours To Pull)	ENEMENEMINEMOE	David Jones,Derrick Jones,Johnny Bristol,W. Brown,Wade Jr. Brown	The Jackson 5	0036315966	E-NE-ME-NE-MI-NE-MOE (THE CHOICE IS YOURS TO PULL)	BRISTOL J/BROWN W/JONES J
0z0daz3KNGeSVxM6Qe0smA	Port Na BpucaÃÂ­	PORTNABPUCAI	Cillian Vallely	Cillian Vallely	0050774039	PORT NA B PUCAI	/TRAD/ARR/VALLELY CILLIAN
2Fv1gdO61J4vLp1bq0lT1g	If I Had Any Sense I'd Go Back Home	IFIHADANYSENSEIDGOBACKHOM	Rose Marie McCoy	Dr. John,Irma Thomas	0017577610	IF I HAD ANY SENSE I'D GO BACK HOME	MCCOY ROSE MARIE
7bylr8wnu3JviCT30GM1Va	Smoke Gets in Your Eyes	SMOKEGETSINYOUREYE	Otto Harbach	Earl Bostic	0000220935	SMOKE GETS IN YOUR EYES	KERN J/HARBACH O
184TJwsbJeji7SZPhnKyKR	No. 8	NO8	Brady Watt,Patrick Baril,utril rhaburn	Statik Selektah	0052903412	NO. 8	BARIL/BRADY/CARRILLO/PRICE/RHABURN/WORTH
2CcvYEMyJkdrSSroblMW5P	FaydasÃÂ±z	FAYDASIZ	Murat Kursun	Ayhan AÃÂan	0048670600	FAYDASIZ (TR)	MURAT KURSUN/METIN ASLAN
2X5IoY7eKXEmVSypB065f6	Vinyl Concept Tape, Vol.1 Index N09	VINYLCONCEPTTAPEVOL1INDEX	DJ Kaze	DJ Kaze	0047427227	VINYL CONCEPT TAPE, VOL.1 INDEX N08	DJ KAZE
2dd58PbAp6Nv8ux50XbLb6	If You Give Me Your Heart	IFYOUGIVEMEYOURHEART	Jimmy Lewis	Little Milton	0011300007	IF YOU'LL GIVE ME YOUR HEART	LEWIS JAMES E
3xInfkcNCM3WkEhLWq21uS	Hold On For Your Life	HOLDONFORYOURLIFE	Blake Bollinger,Sam Tinnesz	Tommee Profitt	0049984218	HOLD ON FOR YOUR LIFE	BOLLINGER W/TINNESZ S
2KGkKOny2fds0NAFSNJBR6	Will You Love Me Tomorrow	WILYOULOVEMETOMOROW	Carole King,Gerald Goffin	Bobby Vee	0002782381	WILL YOU LOVE ME TOMORROW	KING C/GOFFIN G
3WVM49k4ID2lpgLjd55vzN	No Worries	NOWORIE	Gary Allan,Odie Blackmon,Pat McLaughlin	Gary Allan	0043936738	NO WORRIES	MCLAUGHLIN P/HERZBERG G/BLACKMON C
7kFovgV7zKSKguLgsyGhGI	Four Twenty Seven	FOURTWENTYSEVEN	L. McMillan	The DJ Producer	0055700221	FOUR TWENTY SEVEN	MCMILLAN L
0gNzvlgWwOfrix6BaOeFVo	For HeavenÃ¢ÂÂs Sake	FORHEAVENSSAKE	Don Meyer,Elise Bretton,Sherman Edwards	Wes Montgomery	0002957986	FOR HEAVEN'S SAKE	BRETTON E/EDWARDS S/MEYER D
7FEvUEbsfQmMqgkPN5TKZc	Onda Do Arraial	ONDADOARAIAL	Armandinho,Dora Vergueiro	Armandinho	0036131485	ONDA DO ARRAIAL	DE SILVEIRA A/VERGUEIRO D
75YS5bfQSol8GCoAvbmNaN	The Golden Age of Rock 'n' Roll	GOLDENAGEOFROCK&ROL	Ian Hunter	Mott The Hoople	0001407831	GOLDEN AGE OF ROCK AND ROLL	PATTERSON IAN HUNTER
1VUjE82FR4JcmUakYBVTTn	Fark Atiyor	FARKATIYOR	Sinan AkÃÂ§ÃÂ±l,Tamim Gallal	Sinan AkÃÂ§ÃÂ±l	0043047156	FARK ATIYOR (CIHAT UGUREL REMIX)	AKCIL S/GALLAL T/GHALAB M/TAMOZ V
0Tasv0fVj3DE7bGiuxwQp2	Schattenspiel	SCHATENSPIEL	V.Bertelmann	Hauschka	0043926827	SCHATTENSPIEL	BERTELMANN VOLKER
5P9JSDgtyv01U04yUXDL7u	Pretender	PRETENDER	Klaas Gerling	Klaas	0055543584	PRETENDER	KLAAS GERLING
0caUoX71D8MNwFagsN5QzF	Teddy Acapulco	TEDYACAPULCO	Zsolt Jakab	Vono Box	0033982666	TEDDY ACAPULCO	JAKAB ZSOLT
3fj6YntHiA9D9wbOy7sA8c	Big Blue	BIGBLUE	Jan Hammer	Clarence Clemons	0050519462	BIG BLUE	HAMMER J/HAMMER J
04zIl0G0yzmRuBYWB8im1f	Shine	SHINE	Justin Clarke	Congress of Animals,Justin Firefly Clarke	0051874875	SHINE LITTLE DIAMOND	CLARKE JUSTIN RUSSELL
7iAQj0IxTJ5Zw6Ar9oP2fV	Games	GAME	Demi Lovato,Sean Douglas,Trevor David Brown,Warren Felder,William Zaire Simmons	Demi Lovato	0052647744	GAMES	LOVATO/SIMMONS/BROWN/DOUGLAS/FELDER
4wIJhBXOSCWtCtmgYNoB67	Burning Passion	BURNINPASION	G. Vern	Francisca Guido	0040445837	BURNING PASSION	GADO VERN
6jweF2IOIwxjYQ7pXFwpwX	Heatwave	HEATWAVE	Jay Watson	GUM	0051031272	HEATWAVE	WATSON JAY WESLEY
3XEx16BTvG62jF4bnB4S6v	December, 1963 (oh, What a Night)	DECEMBER1963	B.Gaudio,J Parker	Broadway Singers	0002421171	DECEMBER 1963 (OH WHAT A NIGHT)	GAUDIO R/PARKER J
4dY97GUDuUSkx8HajakKS6	All in Black	ALINBLACK	David Haley,David Hill,Tony Forde	King	0049951758	ALL IN BLACK	HILL D/FORDE T
2tpiNIdAInCVopLATG1dan	River of Pain	RIVEROFPAIN	Luke Morley	Thunder	0008753534	RIVER OF PAIN	MORLEY LUKE
6xRMUk4GauxcipDHS4Lt2r	The Battle For Straight Time	BATLEFORSTRAIGHTTIME	Carl Newman	A.C. Newman	0033643709	BATTLE FOR STRAIGHT TIME	/NEWMAN CARL ALLAN/NEWMAN A C
4D45h765OwTlFEUJSYRSRo	Violin Sonata No. 1 in G Minor, BWV 1001: IV. Presto	VIOLINSONATANO1INGMINORBW	Johann Sebastian Bach	Aaron Rosand	0051916490	VIOLIN SONATA NO. 1 IN G MINOR, BWV 1001: IV. PRESTO	JOHANN SEBASTIAN BACH/ALAN VEGA MARTIN R
5pNrZgIiBeKnK5lGvgqnKi	Sunfall	SUNFAL	Ben Grayson,Jake Mason	Jake Mason Trio	0035028315	SUNFALL	MASON J/GRAYSON B
75qoUC3RbSjDi3D1tgZFlI	Piano Quartet in D Minor, Op. 25: III. Allegretto grazioso	PIANOQUARTETINDMINOROP25I	Dora PejaÃÂeviÃÂ	Oliver Triendl,Quatuor Sine Nomine	0055921237	PIANO QUARTET IN D MINOR, OP. 25: III. ALLEGRETTO GRAZIOSO	DORA PEJACEVIC
5UwEOdcJfbATw8iNU3JVMu	Sana Ikaw	SANAIKAW	Mark Escueta,Michael Elgar,Nathan Azarcon,Ryan Peralta	Rivermaya	0052997889	SANA IKAW	NATHAN AZARCON/MARK ESCUETA/MICHAEL ELGA
13zOGnAr2Rpcbp2agucROW	Streamlined Cannon Ball	STREAMLINEDCANONBAL	Roy Acuff	Roy Acuff	0003289522	STREAMLINE CANNONBALL	ACUFF ROY C
56aDDLjXsX3mblX2YTG3b9	Please Please Please	PLEASEPLEASEPLEASE	Adam Olenius,Carl von Arbin,Eric Edman,Paola Stenborg,Ted Malmros	Shout Out Louds	0033976845	PLEASE PLEASE PLEASE	OLENIUS ADAM BENGT WALDEMAR
5urhUYCBXmsPEw00gY5hab	Domn Al Domnilor	DOMNALDOMNILOR	Gabriel Gorcea	Speranta si Prietenii	0049295779	DOMN AL DOMNILOR	GABRIEL GORCEA
6nsZ23hRFXCVkk9NwuzAz0	Sidewalk Safari	SIDEWALKSAFARI	Caroline Polachek,Kurt Feldman,Patrick Wimberly	Chairlift	0042077424	SIDEWALK SAFARI	POLACHEK C/WIMBERLY J/FELDMAN K
7GV2C2AwDJO5eXi3xlnuiJ	Hymne A L'amour	HYMNELAMOUR	Marguerite AngÃÂ¨le Monnot,ÃÂdith Piaf	Emma Hamilton	0001002738	HYMNE A L' AMOUR	MONNOT M/PIAF E
