unique_input_record_identifier	input_title	input_writers	input_performers
1NIgovf0IUMcggtYPJRp6C	The Final Absolution	Ian Jekelis,Kenneth Steven Bedene,Mendel bij de Leij,Stefano Franceschini,Sven De Caluwe	Aborted
0uzhVVCG73nBIngV1hpyvY	I Can't Let Go	Al Gorgoni,Chip Taylor,Ltd.,Stone House Productions	Gorgoni,Martin & Taylor
7KYItmZqiTnvfuO42oc6Og	Agar Tu Hota	Abhendra Kumar Upadhyay,Ankit Tiwari	Ankit Tiwari
2mmFemFfAyv9kGffdjhGqC	Alguien Que Se Cruce En Mi Camino	Cacho Valdez,Eduardo Franco	Los Iracundos
5eDYqeMnqFNAHochPlvD9b	Taco Wagon	Dick Dale and his Del-Tones	Dick Dale and his Del-Tones
5U9MWOE39IQ7dcPDT0XO3T	Mother Goose: i. Sleeping Beauty	Maurice Ravel	Philharmonia Orchestra
47A2Tce2Zpgq0hl45qJki3	Appreciate You	Monte Level Kelley	Tay Kelley
1SzovCA1H8KPmhRm6BchKt	Trilogy for Krishna: Krishna II - Holy Denying	Arthur Andres Ribeiro	Uakti
2B8VErJAQkqP0bM6Mb33sL	Kapardina	Hristoforos Krokidis,Lefteris Papadopoulos	Vasilis Papakonstadinou
1AWKAG5IljRnoEromiawhk	It's Too Late	James Newton Howard	James Newton Howard
1LGMu3k03UURXTuATa2xdg	"The Shadow of Your Smile (Love Theme from ""The Sandpiper"")"	Ernie Freeman,Johnny Mandel,Paul Francis Webster	Vic Damone
7qLN09P7CvMTikaavrkGUr	Revitalize	Kay(fabe) LaNoise,Melanie GÃ¼ntzschel,Rico Suchatzki	Wynardtage
0SSIr855WMaF6rWXjZvgRo	Habit of Mind	Daniel Clarke,Joshua Grange,k.d. lang	k.d. lang,the Siss Boom Bang
6f4OdqA93uyv2K6UeEbKXU	St. Anger	Dennis Lisk,Guido Weiss,Jan Phillip Eissfeldt	Beginner
5GoGjEsPvr0McJQiGGCnws	Man Listen	A. Balshe,Ben Diehl,Danny Nguyen,K. Khaled	Belly
7c6opaRm7F0yivzl40LRqJ	Undercover of My Skin	Benjamin Robert Walker,Jan Skubiszewski	Benny Walker
7koVKROalkRPaeMFFzcyfw	Das Rheingold, WWV 86A / Erste Szene: Weia! Waga! Woge du Welle! - Live At Staatsoper, Vienna / 2011	Richard Wagner	Christian Thielemann,Ileana Tonca,Tomasz Konieczny,Ulrike Helzel,Vienna State Opera Orchestra,Zoryana Kushpler
4INqVSyfEPwnTkHtCwhIAb	Love Me Tender	E Presley,VG Matson	Daniel O'Donnell
4toHIBRIKMEEE61SusEwes	Higher - Jerry Folk Remix	Ketil Jansen,Maty Noyes,Sebastian Teigen,Ulrik Denizou Lund	Lemaitre
0sBjk0d2JfH0foHkt1VXPD	Rations	Coby Brown	Coby Brown
6jTuYb8VuMrlooQy45eN03	Equinox	Ivan Myslikovjan,Lucie Burns	Lazy Hammock
2rArUcVf6tenO8UL54keho	Jussara	Quincas Moreira	Zuco 103
4aYnfoTYbbyDr6v2RaicYB	Do It Together	Adam Baker,Daniel Rankine,Daniel Yates,Matthew Honson,Matthew Lambert	Funkoars
4m1opmaYT9zk5OP7IHUb9R	Call To Arms	Sturgill Simpson	Sturgill Simpson
4d0yzZtMPYKU6AmijCNpLj	Concerto for Violin and Organ in C Major, RV 808: III. Allegro	Antonio Vivaldi	Amandine Beyer,Gli Incogniti
25Q5OflSxjMcI6er7dshoS	Dionysian Urge	Tim Wheeler	Ash
0lVrzRQJbBdQnTr57e70t1	Thumbelina	Frank Loesser	Bernard Cribbins
7HsVqk0jBaixdESPtbxDwf	Adorations	Jaz Coleman,Kevin Walker,Martin Glover,Paul Ferguson	Killing Joke
7s0CqOvyKGkyPLl6N2Bg9I	Kiss Me	Stephen Duffy	Stephen Duffy
3SIEL0FHZrOmYb6YdCPXER	Liebster Gott, wenn werd ich sterben, BWV 8: Recitative: Behalte nur, o Welt, das Meine! (Soprano)	Johann Sebastian Bach	English Baroque Soloists,Katherine Fuge,Mark Padmore,Robin Tyson,The Monteverdi Choir,Thomas Guthrie
7ByyYB8M24L0dGUh5f2ZUL	Krajina je majka	Velimir Zivkovic	Bora Drljaca
4JkoBVUPDMc4PbBctG2ySs	Hulapalu	Andreas Gabalier	Die Grubertaler
3CKH9RNXLcvl6baYJUybCL	Koliko Je Prevarenih	Zlatko Timotic Zlaja	Dragana Mirkovic
7eDjwwpghuiCEVXhtel8Zy	Dankbar	Benjamin Stottmeister	Herr von Grau
40esUsEMmw0qwhnGMseDgR	You Lose	Stefan Becher	Delusions of Lunacy
4nYysvyXvE31PB8KVJWDoM	Who Dat	Christopher A. Stewart,Diandre Davis,JT Money,Thabiso Nkhereanye,Tony Mercedes,Tonya Johnston	JT Money
79xLmqnrSLtzrTlCOkmTmq	Call Upon	Samuel Gray,Steve Manovski	Penthox
4x9Aig6PzVapoeeYoNocYC	Opened	Patrick Robert Lynch,Philip Andrews Duchesne,Sergio Andres Barrera	Horizons
3YAoxvQt6hpSbmQ9HIom01	Rugged Country	Michelle Zauner	Japanese Breakfast
0tGIRDsFl3j5TMbK7nK2Ji	The Great Water Sequel	Fredric Lindblom,Robin Eveborn	Last Lynx
5vBCcgTVe22nwY3EGMXdvh	Dixie Boogie	Atwell,T Rad	Winifred Atwell
38casNXY2G39SZRUjALtcY	How I Roll	Bonnie McKee,Christian Karlsson,Henrik Jonback,Magnus LidehÃ¤ll,Nicole Morier,Pontus Winnberg	Britney Spears
4I08B4Z8l5jroZYupuna8h	Please Come Back	Dag Sindre Vagle	Helldorado
2nwBoEYXhXKsLp0A88DZI4	The Photographer: Act II	Philip Glass	Philip Glass Ensemble
528YVqE16CenL0aLYrJOej	Yang Terlewatkan	Eross Chandra	Sheila On 7
0NerbJg3H6xJMjAiUH4R9y	Colliepark	Sinistarr	Sinistarr
719sQR7qma8K6kgMlpQSOe	I Don't Mind	Vinzenz John	Vince Johnson
4ZVZB9inlBtfFPUdnOu4AT	Bluebird	Katie Noonan	Katie Noonan
35e7ckbWgHjHI9n3oL6jnd	Malade	Eazy Dew,Pierre Bertrand,RomÃ©o Elvis,Vladimir Cauchemar	RomÃ©o Elvis
2wRZk21Klib9hcPslNwyqD	Dembese	Tete Mbambisa	Brian Thusi
7MnxdsnHrXOgnqpAv6K04d	Why Don't You Fall in Love with Me? - Remastered	Al Lewis,Mabel Wayne	Connee Boswell
252htgicGlEQdV2se6iZdJ	Dear X, You Don't Own Me	Ben Glover,Kevin Young,Rob Hawkins	Disciple
40nsQucs2zbec1F8JBi0iJ	New Generation	Csaba Zvekan	Raven Lord
2gU1CTTz1Gl05yF13Ub2Ol	Let Me Fall in Love	Sebastian Olzanski	Sebastian Olzanski
3iWHl7QFmQ9HmXgDEyzxop	Sign Of Relief	Anne Jennifer Dudley,Gary Langan,Jonathan Edward Jeczalik,Paul Robert Morley,Trevor Charles Horn	Art Of Noise
1aexn5XUwWBcCn8T36IYK3	Joy Through Death	Aleksi KiiskilÃ¤,Juho Vanhanen,Mat McNerney,Rainer Tuomikanto,Valtteri Arino	Grave Pleasures
4O0YeW6g2zD3uPUbqR2i5G	Any Other Way	William Bell	Jackie Shane
45nQhPpDCj5ORSgFPv8EHw	Rise Up	A. Mason,E. Banta	Greenwood Rhythm Coalition
4lJO3eyYqw9CT8mKljyJu5	Sunday Kinda Love (feat. Aaron Lindsey, PJ Morton & Nikki Ross)	Aaron Lindsey,Israel Houghton	Israel Houghton
58gn5gg9fpam1eQB0MLHe2	To Be By Your Side	Bruno Coulais,Nick Cave	Nick Cave
0AjfHlfaz7JEvPMsPJNeXO	"Flying Theme (From ""E. T."")"	John Williams	Philharmonische Orchester des Staatstheaters Cottbus
3PhIQPwCeWV5TfrZkuwXWp	Too Fat Polka	Arthur Richardson,Ross Mac Lean	Craig Duncan
00ObrTLihRBZzDGPypzxON	Por Eso, Estoy Preso	Cacho Valdez,Eduardo Franco,Momy	Los Iracundos
2buPtPaKomtwoT8YvxO13f	L'Anno Che VerrÃ 	Lucio Dalla	Lucio Dalla
4drhI0HFUrZhtQFM6UTezn	A Guy That I'd Kinda Be Into	Joe Iconis	'Be More Chill' Ensemble,Be More Chill,Stephanie Hsu
0FwmxfNxIpFhyWVYhFHDBw	Un mundo de zurdos	Ferran PontÃ³n	Egon Soda
5Xz7X81CO6r9o6nD9cMCb3	Million Miles	Dirk Duderstadt,Marco Duderstadt	Inpetto
2uOctwnoNqfkEVwEwqzLHt	Africans	Farhad Samadzada,Nneka-Lucia Egbuna,Sven Waje	Nneka
4lRgXXGKwulNmOP9IPFE9I	Bout Mine	A. Thompson,L. Smith,M. Seymour,M. Young,T. CASTILLO,W. Roberts	Trick Daddy
11cLIOqkyRLR3huCNp3XmH	Sonata for Violin and Basso Continuo in E Minor, TWV 41:e8: IV. Allegro	Georg Philipp Telemann	Boris Begelman
3FF9wbD0NhvitcpIl4475p	Introducing Pikuniku Again, Trailer 2	Calum Bowen	Calum Bowen
2RQsuMwdpU6kJaqXEjWQJ4	Evening Meditation	Marco Rinaldo	Kundalini: Yoga,Meditation,Relaxation
3UvbQ1Z0TzAcudQGAAqzKq	Parting Gifts	Loene Carmen	Lo Carmen
3NelcGZ46JmV9LqOD1pnxA	Faith (feat. Quavo)	AMIR ESMAILIAN,Navraj Goraya,Quavo,Trouble	NAV
3vVwpJHliGBdF25iKpUBL9	Egyptian Fantasy	Bechet,Reid	Sidney Bechet
0Fifn4lBIGM5LG18Whp1Dx	Corners	Denny White,Isaac Slade,Joe King,Julia Michaels	The Fray
77mUbCKj0mRaJmDOZZHqp5	The Jinnouchi Family	Akihiko Matsumoto	Akihiko Matsumoto
7BFXyMBsWhla1B5Sg9eTYJ	Musik im Polkaschwung	Huby Mayer	Die Fidelen MÃ¶lltaler
5OIUh3wKcgz17QJeeuN2uM	No Way Out	Christopher Hjelte,Thomas Sundin	Dr. Living Dead
24CCu1Cu0iyKH6UpgV2DsU	We Believe (Apostle's Creed)	Keith Getty,Kristyn Getty,Stuart Townend	Keith & Kristyn Getty
0T7HXGIo3QUS0y760PQse0	Seemannslied	Eric Hecht,Ingo Hampf,Michael Bodenski	Subway To Sally
5lAUS46liAnSyUYg7JXlMT	Fiesta: II. Tarantella	"Scott Tenant (based on Horacio Salinas's compositions for ""Inti Illimani"")"	Los Angeles Guitar Quartet
7xnxVpJdZW2LKHuaWAD3Nl	Kadath	NECRONOMIDOL	NECRONOMIDOL
06xImgTBqFA091xRsP7b5O	Get Me To The Church On Time	Alan Jay Lerner,Frederick Loewe	Nat King Cole
7McphnwCoNfmUF8xfDmIz4	Miss U	Kruse,Nuernberg,Teeange Mutants	Kruse & Nuernberg,Teenage Mutants
4InHKArd1x3l1jiRuELeEj	Mas Que Nada	Jorge Ben Jor	MC Joe,The Vanillas
1cJplXaTMuBgA4qTc90MgW	I Forgot	Turboweekend	Turboweekend
781CvX8B4kgvwdfVmWuv94	Cotton Candy (Craig C. Retro Blaster Remix)	Chris Castagno,Danny Blumenfeld,Luke Caswell	Amanda Lepore
6ZhlMEJK5UIO1djk8qx9lm	O Caminho	Bebel Gilberto	Bebel Gilberto
34iWBchBQIeCeqy3yMLP74	En tid av stulen lycka	Haidi Krohn,Kent Fingal	Lasse Stefanz
729IOhIgI8kW0WtgdLCAXJ	The Dancing in Kyle	Duguid,Pritchard	The Alexander Brothers
6tNlelof8u1o8pIq0DBBSB	The Return	Dominic Thomas	Whyte Horses
0u59seilVVIiqnrxZiQPCK	Me Leva Pra Casa	Carlos Roberto Piazolli,Cesar Augusto,JosÃ© Paulo Soares,Mario Campanha,Martinez,Piska	ZezÃ© Di Camargo & Luciano
3ZBFngMpeioFtHj0uryZGx	Salaa yksinÃ¤inen nainen	Laura NÃ¤rhi,Matti Mikkola	Laura NÃ¤rhi
1qgmJ4zIuP3PX0M5Exdv98	Happy Go Lucky	Paul Hardcastle	Paul Hardcastle
1zbFYFFp003w3i6o0foVeW	Moonlight Night	-,Robbie van Leeuwen	Shocking Blue
5pwfHIykTlUJzzniVC18hl	Music	Ali Schwarz,Basti Schwarz,Joy Denalane,Peter Hoff	Tiefschwarz
0EkGVxpPTlO5774mopmmBn	PasiÃ³n y AdiÃ³s	Liliana Gimenez,Stefano Micarelli	Alacran
2XWOFeKVnwP6X4uJL0s9W8	Funk de Fino	Graham Drinnan	Gypsy
2FOBFj915HDE0yfLKmZogJ	Empty Batteries	Adam Woloszyn,Bradley Chester Kochmit,Elias Soriano,Rasheed Thomas,Robb Rivera	Nonpoint
2152wA6Fzj72ouJNABlZMC	Omstart	Eirik Boe,Erik Boe,Erlend Oye,ErlendOye&EirikBoe,Keigo Oyamada	Cornelius
0ygOxj62KAQpaODqo7GVFI	Jigsaw	Gene Shinozaki	Gene Shinozaki
2V7QMzG6hyKXQQ8RVuBAZp	Queens	Her,Zefire	Her
5JKiY5vBCnXPIj5mQHuhJu	Welcome to New Zealand	Douglas Stenhouse,Katherine Rosina Bee	Kath Bee
6F2BORgWIvqv7HgFQ7tUi1	Battle Sirens (feat. Knife Party)	Gareth McGrillen,Rob Swire,Tom Morello	Tom Morello
7nwV6uwksCWKqIhJ2Ri7qM	Massage Lounge Music	Marco Rinaldo	Massage Wellness Moment
2wsZz1q8bhTnP6I1uvmVGj	Lebe deinen Traum	Thomas Hammerl	Oberkrainer Power
2hw3gvVGXnF50DMHnVBwb2	Doesn't Matter Anyway	Jon Oliva,Paul O'Neill	Savatage
6Oq7fsdhGo8YfK9QqhT2HW	Tearing Me Up	Matt Shelton	Wolverines
740FyKQuCtseWohjEtW2c0	Everything	Christopher Cross,Rob Meurer	Christopher Cross
666oy0OHH5qGtJgTnC6tfA	Hello (It's Me Are You There)	Thilo Jacks	Jaqee
3W3P5rOSOP6gxqZFzSe8xL	Sur mon epaule	D. McNeil,E Anais,Philippe Lavil	Philippe Lavil
1cEX1AYeEul6KJzUvweWdK	Got To Cry	James Brown	James Brown & The Famous Flames
7Fx9WpTSXLTQux8MrXEGkU	The Forest Floor	Christopher Johnson	Baba Bubo,Kri Samadhi
4199BdsVeDq0CN0HQpHfQ4	Orange Loft	Marcel FlorschÃ¼tz,Thomas Knoll	Boss Axis
7M0GaGDy4MMGZxiVMZjMja	Chillout 69	Marco Rinaldo	Beach House Chillout Music Academy,Chillout,Ibiza Chill Out
6hWOzchcVbVHuyA5Mb88bs	Secret Agent	Philip Glass	English Chamber Orchestra
2mkRpRkO1rMnUB6b9fEvYE	Just for Her	The Last Resort	Logic
08r5ou7k9ZaLiHN8TX5RWo	One For My Baby	Harold Arlen,Johnny Mercer	Robbie Williams
52gNbUZRu5pY9l5e1ahtkS	A Thousand Years (Sax Melody)	Christina Judith Perri,David Hodges	The Rubber Band
7dGkM8V2ONUzPfQ9FdHOVf	Recercada Romanesca	Diego Ortiz	Capella De La Torre
1M3S6bnTa3mRMLUZqzkUbA	Brand New	Brooklyn JovÃ© Pakathi,Jacques Du Toit,Luca Ronald Zeeman,Nicolas Gonzalez,Wesley Smuts	Climate Control
0xdhqG3HQBOBviaMEiPgHR	Tap Tap Tap	Drumcorps	Drumcorps
4EzUG55GQmovhxjqUWSiYo	Gate 3	J. Ginzburg,P. Purgas	Emptyset
4yoi5sglz8YR3SX2WwPpgC	Our Father	Brooke Ligertwood,Jonas Myrin,Scott Ligertwood	Hillsong Worship
2uYnPIbuOAAT6h0pLgF4vQ	Sandman	Michael E	Michael E
5cR93FH9SJKzkS6QhPHg7W	Llamame	Emmanuel Horvilleur,Rafael Arcaute	Emmanuel Horvilleur
6v8FXSmKMFGwFp23wK1DXD	Tell Me	Allan Ayque,Louie Ocampo	Joey Albert
73liEZrnhX2XNXSLifO2xM	Get Away	Andreas Dyre Odbjerg,Andreas Kongsted Jensen,Ben Cauley,Daniel Thorup,David Porter,Haruna James Wasajja,Harvey J Henderson,Ida Kudo HÃ¸ffding,James Alexander,Larry Charles Dodson,Steffen Simon Aba,Willie Hall,Winston Allen Stewart	Kongsted
3swIgDTjS5zcmsVzvTeTMr	The Unicorn	Shel,Silverstein	The Wayfarers
6rOP9e8fg8PBe5qyJzKvVa	Violet Hill	C. Martin,M. Buckland. W. Champion,R. Berryman	Vitamin String Quartet
7oIPYcHVsiDZSrHYeA0ogg	Real Love	Adrianne Elizabeth Lenker	Big Thief
7wZIqkXJOFzhr49aWNpsTw	Spinoza	Edward Bartlett Joyner,Grant Evan Widmer	Generationals
6o6OO0SPFoIDM7j4zrvuNg	Rigor Mortis	Cyril Neville,George Porter Jr.,Joseph Modeliste,Leo Nocentelli	The Meters
4BoNrxrQ6V0iKkExokBoKO	Train Song	Danny Fishman	Danny Fishman
1BTzAdZzbFTMOhnpdnVYJ5	Ladies & Gentlemen	Giordano Trivellato,Giuliano Sacchetto,Tobacco Music Edition	Pilates Trainer
4sb1gNU7avV9MXMTA4Rj4l	Quintet for Horn, Violin, 2 Violas and Bass in E-flat major, K.407: 3. Allegro	Wolfgang Amadeus Mozart	Endres Quartet,Sebastian Huber
513XZUPAD0HDmvu6YnR4Ga	National Breakout	Jimmy Marinos,Michael Skill,Wally Palmar	The Romantics
1N1gJIwsHY0bAQWQ4GForg	Mambo & Cola	Bebo Best	Bebo Best,The Super Lounge Orchestra
0vF8iE7IpyU9zVFlkvyjAB	Drop in the Bucket	Bob Dipiero,Kix Brooks	Brooks & Dunn
7kXHxtI2Gx5xnnN3vwjCr8	Driftin'	P A Greenbaum	Gary Moore
7FAX4dW3nnxrj44TqLhL6u	La Villanella, Prima parte, Pensieri amorosi: Avrilla mia	Giovanni Girolamo Kapsberger	Christina Pluhar,Hans-JÃ¶rg Mammel,Johanette Zomer,L'Arpeggiata,Pino de Vittorio
1ZWqjA85CPleeQHeWMPcMx	Being with You	Bahram Pourmand	Bahramji & Mashti
03PODiWrfNQ5s5gRwMPsv3	No Place Like Home	Blake Andrew Keeping	Xavier Blake
2vR9jqzDP339D6cFAnytV9	Chronia Polla	Giannis Mplathras,Tasos Mplathras	Dimitris Giotis
6DIktdaHbe32xcqQkpEycq	Ragismena Matia	Vasilis Saleas	Makis Hristodoulopoulos
3MEjLuXVGxrFBLUUmq0lni	Night Time	Billy Strayhorn,Duke Ellington	Duke Ellington
50J6OByPbz5TYqAP0llB6z	It's Me	Mikkel Storleer Eriksen,P. T. Jackson,Tor Erik Hermansen	Joe
7p22i75SXIAhyumjy99v4t	So Many Pros	Calvin Broadus,Pharrell Williams	Snoop Dogg
6fPPRL9mdV96jPcfZWRCJU	Sunrise	Ciaran O'Hagan,Denis Ferran,Dermot O Hagen,Mairtin Mac Cormaic,Micheal Proctor	Waylander
68w1iX1hdolfLsJSfqwjQj	Nocturne No.4 In F, Op.15 No.1	FrÃ©dÃ©ric Chopin	Maurizio Pollini
0pZs36idY8uJ5PwOFGUn5O	Grasshopper	Nathan Furst	Nathan Furst
33GbF5eIO6AKQewAao00mU	Fucking Friend Part II	Thomas Roussel,Yannick Granjean	SomethingALaMode
4bkT8iMD5Zaw9dhixEGykl	Roughstock Riders	Steve Forde	Steve Forde & The Flange
6fcssDZKqYhjGvjqNl3xhC	Frappe'	Stranger (Oleksandr Shevchenko),Stranger (Stefanos Gkogkakos)	Strange Yaga
6l09c2CTcYqBhDfLGcQIq2	Medicine Weasel	Nick Pickett	The John Dummer Band
2uvTsEZExVjUochkvi0oF6	Mangle	David Cutter,Dyalla Swain	David Cutter Music,Dyalla
0z6xGK2u3nSsbk9XeKYwZQ	Flamenco Bolero	Carlos Gomez,Gustavo Montesanos Gonzales,Maurice Ravel,Tino Di Geraldo	Gustavo Montesano/Royal Philharmonic Orchestra/Carlos Gomez
4lFTM7ESXwW1LF6OD7BHmS	E-Ne-Me-Ne-Mi-Ne-Moe (The Choice Is Yours To Pull)	David Jones,Derrick Jones,Johnny Bristol,W. Brown,Wade Jr. Brown	The Jackson 5
0z0daz3KNGeSVxM6Qe0smA	Port Na BpucaÃ­	Cillian Vallely	Cillian Vallely
2Fv1gdO61J4vLp1bq0lT1g	If I Had Any Sense I'd Go Back Home	Rose Marie McCoy	Dr. John,Irma Thomas
7bylr8wnu3JviCT30GM1Va	Smoke Gets in Your Eyes	Otto Harbach	Earl Bostic
184TJwsbJeji7SZPhnKyKR	No. 8	Brady Watt,Patrick Baril,utril rhaburn	Statik Selektah
2CcvYEMyJkdrSSroblMW5P	FaydasÄ±z	Murat Kursun	Ayhan AÅan
2X5IoY7eKXEmVSypB065f6	Vinyl Concept Tape, Vol.1 Index N09	DJ Kaze	DJ Kaze
2dd58PbAp6Nv8ux50XbLb6	If You Give Me Your Heart	Jimmy Lewis	Little Milton
3xInfkcNCM3WkEhLWq21uS	Hold On For Your Life	Blake Bollinger,Sam Tinnesz	Tommee Profitt
2KGkKOny2fds0NAFSNJBR6	Will You Love Me Tomorrow	Carole King,Gerald Goffin	Bobby Vee
3WVM49k4ID2lpgLjd55vzN	No Worries	Gary Allan,Odie Blackmon,Pat McLaughlin	Gary Allan
7kFovgV7zKSKguLgsyGhGI	Four Twenty Seven	L. McMillan	The DJ Producer
0gNzvlgWwOfrix6BaOeFVo	For Heavenâs Sake	Don Meyer,Elise Bretton,Sherman Edwards	Wes Montgomery
7FEvUEbsfQmMqgkPN5TKZc	Onda Do Arraial	Armandinho,Dora Vergueiro	Armandinho
75YS5bfQSol8GCoAvbmNaN	The Golden Age of Rock 'n' Roll	Ian Hunter	Mott The Hoople
1VUjE82FR4JcmUakYBVTTn	Fark Atiyor	Sinan AkÃ§Ä±l,Tamim Gallal	Sinan AkÃ§Ä±l
0Tasv0fVj3DE7bGiuxwQp2	Schattenspiel	V.Bertelmann	Hauschka
5P9JSDgtyv01U04yUXDL7u	Pretender	Klaas Gerling	Klaas
0caUoX71D8MNwFagsN5QzF	Teddy Acapulco	Zsolt Jakab	Vono Box
3fj6YntHiA9D9wbOy7sA8c	Big Blue	Jan Hammer	Clarence Clemons
04zIl0G0yzmRuBYWB8im1f	Shine	Justin Clarke	Congress of Animals,Justin Firefly Clarke
7iAQj0IxTJ5Zw6Ar9oP2fV	Games	Demi Lovato,Sean Douglas,Trevor David Brown,Warren Felder,William Zaire Simmons	Demi Lovato
4wIJhBXOSCWtCtmgYNoB67	Burning Passion	G. Vern	Francisca Guido
6jweF2IOIwxjYQ7pXFwpwX	Heatwave	Jay Watson	GUM
3XEx16BTvG62jF4bnB4S6v	December, 1963 (oh, What a Night)	B.Gaudio,J Parker	Broadway Singers
4dY97GUDuUSkx8HajakKS6	All in Black	David Haley,David Hill,Tony Forde	King
2tpiNIdAInCVopLATG1dan	River of Pain	Luke Morley	Thunder
6xRMUk4GauxcipDHS4Lt2r	The Battle For Straight Time	Carl Newman	A.C. Newman
4D45h765OwTlFEUJSYRSRo	Violin Sonata No. 1 in G Minor, BWV 1001: IV. Presto	Johann Sebastian Bach	Aaron Rosand
5pNrZgIiBeKnK5lGvgqnKi	Sunfall	Ben Grayson,Jake Mason	Jake Mason Trio
75qoUC3RbSjDi3D1tgZFlI	Piano Quartet in D Minor, Op. 25: III. Allegretto grazioso	Dora PejaÄeviÄ	Oliver Triendl,Quatuor Sine Nomine
5UwEOdcJfbATw8iNU3JVMu	Sana Ikaw	Mark Escueta,Michael Elgar,Nathan Azarcon,Ryan Peralta	Rivermaya
13zOGnAr2Rpcbp2agucROW	Streamlined Cannon Ball	Roy Acuff	Roy Acuff
56aDDLjXsX3mblX2YTG3b9	Please Please Please	Adam Olenius,Carl von Arbin,Eric Edman,Paola Stenborg,Ted Malmros	Shout Out Louds
5urhUYCBXmsPEw00gY5hab	Domn Al Domnilor	Gabriel Gorcea	Speranta si Prietenii
